	Gene name	Gene	Tissue	Cell type	Level	Reliability
2773	HIF1AN	ENSG00000166135	cerebellum	cells in granular layer	Low	Supported
2774	HIF1AN	ENSG00000166135	cerebellum	cells in molecular layer	Medium	Supported
2775	HIF1AN	ENSG00000166135	cerebellum	Purkinje cells	Medium	Supported
2776	HIF1AN	ENSG00000166135	cerebral cortex	endothelial cells	Medium	Supported
2777	HIF1AN	ENSG00000166135	cerebral cortex	glial cells	Medium	Supported
2778	HIF1AN	ENSG00000166135	cerebral cortex	neuronal cells	Low	Supported
2779	HIF1AN	ENSG00000166135	cerebral cortex	neuropil	Low	Supported
2780	HIF1AN	ENSG00000166135	cervix, uterine	glandular cells	High	Supported
2781	HIF1AN	ENSG00000166135	cervix, uterine	squamous epithelial cells	Medium	Supported
2782	HIF1AN	ENSG00000166135	colon	endothelial cells	Medium	Supported
2783	HIF1AN	ENSG00000166135	colon	glandular cells	Low	Supported
2784	HIF1AN	ENSG00000166135	colon	peripheral nerve/ganglion	Medium	Supported
2785	HIF1AN	ENSG00000166135	duodenum	glandular cells	Low	Supported
2786	HIF1AN	ENSG00000166135	endometrium 1	cells in endometrial stroma	Low	Supported
2787	HIF1AN	ENSG00000166135	endometrium 1	glandular cells	Low	Supported
2788	HIF1AN	ENSG00000166135	endometrium 2	cells in endometrial stroma	Not detected	Supported
2789	HIF1AN	ENSG00000166135	endometrium 2	glandular cells	Low	Supported
2790	HIF1AN	ENSG00000166135	epididymis	glandular cells	Medium	Supported
2791	HIF1AN	ENSG00000166135	esophagus	squamous epithelial cells	Medium	Supported
2792	HIF1AN	ENSG00000166135	fallopian tube	ciliated cells (cell body)	Medium	Supported
2793	HIF1AN	ENSG00000166135	fallopian tube	ciliated cells (cilia axoneme)	Not detected	Supported
2794	HIF1AN	ENSG00000166135	fallopian tube	ciliated cells (ciliary rootlets)	High	Supported
2795	HIF1AN	ENSG00000166135	fallopian tube	ciliated cells (tip of cilia)	Not detected	Supported
2796	HIF1AN	ENSG00000166135	fallopian tube	non-ciliated cells	Not detected	Supported
2797	HIF1AN	ENSG00000166135	gallbladder	glandular cells	Medium	Supported
2798	HIF1AN	ENSG00000166135	heart muscle	cardiomyocytes	Medium	Supported
2799	HIF1AN	ENSG00000166135	hippocampus	glial cells	High	Supported
2800	HIF1AN	ENSG00000166135	hippocampus	neuronal cells	Low	Supported
2801	HIF1AN	ENSG00000166135	kidney	cells in glomeruli	Medium	Supported
2802	HIF1AN	ENSG00000166135	kidney	cells in tubules	High	Supported
2803	HIF1AN	ENSG00000166135	liver	cholangiocytes	Medium	Supported
2804	HIF1AN	ENSG00000166135	liver	hepatocytes	Medium	Supported
2805	HIF1AN	ENSG00000166135	lung	alveolar cells	Medium	Supported
2806	HIF1AN	ENSG00000166135	lung	macrophages	Medium	Supported
2807	HIF1AN	ENSG00000166135	lymph node	germinal center cells	Low	Supported
2808	HIF1AN	ENSG00000166135	lymph node	non-germinal center cells	Low	Supported
2809	HIF1AN	ENSG00000166135	nasopharynx	basal cells	Medium	Supported
2810	HIF1AN	ENSG00000166135	nasopharynx	ciliated cells (cell body)	Medium	Supported
2811	HIF1AN	ENSG00000166135	nasopharynx	ciliated cells (cilia axoneme)	Not detected	Supported
2812	HIF1AN	ENSG00000166135	nasopharynx	ciliated cells (ciliary rootlets)	Not detected	Supported
2813	HIF1AN	ENSG00000166135	nasopharynx	ciliated cells (tip of cilia)	Not detected	Supported
2814	HIF1AN	ENSG00000166135	oral mucosa	squamous epithelial cells	Medium	Supported
2815	HIF1AN	ENSG00000166135	ovary	follicle cells	Low	Supported
2816	HIF1AN	ENSG00000166135	ovary	ovarian stroma cells	Low	Supported
2817	HIF1AN	ENSG00000166135	pancreas	exocrine glandular cells	Medium	Supported
2818	HIF1AN	ENSG00000166135	pancreas	pancreatic endocrine cells	Medium	Supported
2819	HIF1AN	ENSG00000166135	parathyroid gland	glandular cells	Medium	Supported
2820	HIF1AN	ENSG00000166135	placenta	decidual cells	Medium	Supported
2821	HIF1AN	ENSG00000166135	placenta	trophoblastic cells	Medium	Supported
2822	HIF1AN	ENSG00000166135	prostate	glandular cells	Medium	Supported
2823	HIF1AN	ENSG00000166135	rectum	glandular cells	Medium	Supported
2824	HIF1AN	ENSG00000166135	salivary gland	glandular cells	Medium	Supported
2825	HIF1AN	ENSG00000166135	seminal vesicle	glandular cells	Medium	Supported
2826	HIF1AN	ENSG00000166135	skeletal muscle	myocytes	Medium	Supported
2827	HIF1AN	ENSG00000166135	skin 1	fibroblasts	Low	Supported
2828	HIF1AN	ENSG00000166135	skin 1	keratinocytes	Medium	Supported
2829	HIF1AN	ENSG00000166135	skin 1	Langerhans	Low	Supported
2830	HIF1AN	ENSG00000166135	skin 1	melanocytes	Medium	Supported
2831	HIF1AN	ENSG00000166135	skin 2	epidermal cells	Medium	Supported
2832	HIF1AN	ENSG00000166135	small intestine	glandular cells	Low	Supported
2833	HIF1AN	ENSG00000166135	smooth muscle	smooth muscle cells	Medium	Supported
2834	HIF1AN	ENSG00000166135	soft tissue 1	fibroblasts	Low	Supported
2835	HIF1AN	ENSG00000166135	soft tissue 2	fibroblasts	Low	Supported
2836	HIF1AN	ENSG00000166135	soft tissue 2	peripheral nerve	Medium	Supported
2837	HIF1AN	ENSG00000166135	spleen	cells in red pulp	Medium	Supported
2838	HIF1AN	ENSG00000166135	spleen	cells in white pulp	Low	Supported
2839	HIF1AN	ENSG00000166135	stomach 1	glandular cells	Medium	Supported
2840	HIF1AN	ENSG00000166135	stomach 2	glandular cells	Medium	Supported
2841	HIF1AN	ENSG00000166135	testis	elongated or late spermatids	Not detected	Supported
2842	HIF1AN	ENSG00000166135	testis	Leydig cells	Medium	Supported
2843	HIF1AN	ENSG00000166135	testis	pachytene spermatocytes	High	Supported
2844	HIF1AN	ENSG00000166135	testis	peritubular cells	Not detected	Supported
2845	HIF1AN	ENSG00000166135	testis	preleptotene spermatocytes	Not detected	Supported
2846	HIF1AN	ENSG00000166135	testis	round or early spermatids	High	Supported
2847	HIF1AN	ENSG00000166135	testis	sertoli cells	Medium	Supported
2848	HIF1AN	ENSG00000166135	testis	spermatogonia cells	High	Supported
2849	HIF1AN	ENSG00000166135	thyroid gland	glandular cells	Medium	Supported
2850	HIF1AN	ENSG00000166135	tonsil	germinal center cells	Medium	Supported
2851	HIF1AN	ENSG00000166135	tonsil	non-germinal center cells	Medium	Supported
2852	HIF1AN	ENSG00000166135	tonsil	squamous epithelial cells	Medium	Supported
2853	HIF1AN	ENSG00000166135	urinary bladder	urothelial cells	Medium	Supported
2854	HIF1AN	ENSG00000166135	vagina	squamous epithelial cells	Medium	Supported
2855	POLR2G	ENSG00000168002	adipose tissue	adipocytes	Not detected	Approved
2856	POLR2G	ENSG00000168002	adrenal gland	glandular cells	Medium	Approved
2857	POLR2G	ENSG00000168002	appendix	glandular cells	Not detected	Approved
2858	POLR2G	ENSG00000168002	bone marrow	hematopoietic cells	Low	Approved
2859	POLR2G	ENSG00000168002	breast	adipocytes	Not detected	Approved
2860	POLR2G	ENSG00000168002	breast	glandular cells	Medium	Approved
2861	POLR2G	ENSG00000168002	breast	myoepithelial cells	Medium	Approved
2862	POLR2G	ENSG00000168002	bronchus	respiratory epithelial cells	Medium	Approved
2863	POLR2G	ENSG00000168002	caudate	glial cells	Not detected	Approved
2864	POLR2G	ENSG00000168002	caudate	neuronal cells	Not detected	Approved
2865	POLR2G	ENSG00000168002	cerebellum	cells in granular layer	Low	Approved
2866	POLR2G	ENSG00000168002	cerebellum	cells in molecular layer	Low	Approved
2867	POLR2G	ENSG00000168002	cerebellum	Purkinje cells	Medium	Approved
2868	POLR2G	ENSG00000168002	cerebral cortex	endothelial cells	Medium	Approved
2869	POLR2G	ENSG00000168002	cerebral cortex	glial cells	Low	Approved
2870	POLR2G	ENSG00000168002	cerebral cortex	neuronal cells	Medium	Approved
2871	POLR2G	ENSG00000168002	cerebral cortex	neuropil	Low	Approved
2872	POLR2G	ENSG00000168002	cervix, uterine	glandular cells	Medium	Approved
2873	POLR2G	ENSG00000168002	cervix, uterine	squamous epithelial cells	Medium	Approved
2874	POLR2G	ENSG00000168002	colon	endothelial cells	Medium	Approved
2875	POLR2G	ENSG00000168002	colon	glandular cells	Medium	Approved
2876	POLR2G	ENSG00000168002	colon	peripheral nerve/ganglion	Medium	Approved
2877	POLR2G	ENSG00000168002	duodenum	glandular cells	Medium	Approved
2878	POLR2G	ENSG00000168002	endometrium 1	cells in endometrial stroma	Low	Approved
2879	POLR2G	ENSG00000168002	endometrium 1	glandular cells	Low	Approved
2880	POLR2G	ENSG00000168002	endometrium 2	cells in endometrial stroma	Not detected	Approved
2881	POLR2G	ENSG00000168002	endometrium 2	glandular cells	Low	Approved
2882	POLR2G	ENSG00000168002	epididymis	glandular cells	Medium	Approved
2883	POLR2G	ENSG00000168002	esophagus	squamous epithelial cells	Medium	Approved
2884	POLR2G	ENSG00000168002	fallopian tube	glandular cells	Medium	Approved
2885	POLR2G	ENSG00000168002	heart muscle	cardiomyocytes	Medium	Approved
2886	POLR2G	ENSG00000168002	hippocampus	glial cells	Not detected	Approved
2887	POLR2G	ENSG00000168002	hippocampus	neuronal cells	Low	Approved
2888	POLR2G	ENSG00000168002	kidney	cells in glomeruli	Low	Approved
2889	POLR2G	ENSG00000168002	kidney	cells in tubules	Medium	Approved
2890	POLR2G	ENSG00000168002	liver	cholangiocytes	Not detected	Approved
2891	POLR2G	ENSG00000168002	liver	hepatocytes	Medium	Approved
2892	POLR2G	ENSG00000168002	lung	alveolar cells	Medium	Approved
2893	POLR2G	ENSG00000168002	lung	macrophages	Low	Approved
2894	POLR2G	ENSG00000168002	lymph node	germinal center cells	Medium	Approved
2895	POLR2G	ENSG00000168002	lymph node	non-germinal center cells	Low	Approved
2896	POLR2G	ENSG00000168002	oral mucosa	squamous epithelial cells	Medium	Approved
2897	POLR2G	ENSG00000168002	ovary	follicle cells	Low	Approved
2898	POLR2G	ENSG00000168002	ovary	ovarian stroma cells	Low	Approved
2899	POLR2G	ENSG00000168002	pancreas	exocrine glandular cells	Medium	Approved
2900	POLR2G	ENSG00000168002	pancreas	pancreatic endocrine cells	Low	Approved
2901	POLR2G	ENSG00000168002	parathyroid gland	glandular cells	Not detected	Approved
2902	POLR2G	ENSG00000168002	placenta	decidual cells	Medium	Approved
2903	POLR2G	ENSG00000168002	placenta	trophoblastic cells	Medium	Approved
2904	POLR2G	ENSG00000168002	prostate	glandular cells	Low	Approved
2905	POLR2G	ENSG00000168002	rectum	glandular cells	Medium	Approved
2906	POLR2G	ENSG00000168002	salivary gland	glandular cells	Low	Approved
2907	POLR2G	ENSG00000168002	seminal vesicle	glandular cells	Medium	Approved
2908	POLR2G	ENSG00000168002	skeletal muscle	myocytes	Medium	Approved
2909	POLR2G	ENSG00000168002	skin 1	fibroblasts	Medium	Approved
2910	POLR2G	ENSG00000168002	skin 1	keratinocytes	Medium	Approved
2911	POLR2G	ENSG00000168002	skin 1	Langerhans	Medium	Approved
2912	POLR2G	ENSG00000168002	skin 1	melanocytes	Medium	Approved
2913	POLR2G	ENSG00000168002	skin 2	epidermal cells	Medium	Approved
2914	POLR2G	ENSG00000168002	small intestine	glandular cells	Medium	Approved
2915	POLR2G	ENSG00000168002	smooth muscle	smooth muscle cells	Low	Approved
2916	POLR2G	ENSG00000168002	soft tissue 1	fibroblasts	Low	Approved
2917	POLR2G	ENSG00000168002	soft tissue 2	fibroblasts	Not detected	Approved
2918	POLR2G	ENSG00000168002	soft tissue 2	peripheral nerve	Low	Approved
2919	POLR2G	ENSG00000168002	spleen	cells in red pulp	Medium	Approved
2920	POLR2G	ENSG00000168002	spleen	cells in white pulp	Not detected	Approved
2921	POLR2G	ENSG00000168002	stomach 1	glandular cells	Medium	Approved
2922	POLR2G	ENSG00000168002	stomach 2	glandular cells	Medium	Approved
2923	POLR2G	ENSG00000168002	testis	cells in seminiferous ducts	Medium	Approved
2924	POLR2G	ENSG00000168002	testis	Leydig cells	Medium	Approved
2925	POLR2G	ENSG00000168002	thyroid gland	glandular cells	Medium	Approved
2926	POLR2G	ENSG00000168002	tonsil	germinal center cells	Low	Approved
2927	POLR2G	ENSG00000168002	tonsil	non-germinal center cells	Low	Approved
2928	POLR2G	ENSG00000168002	tonsil	squamous epithelial cells	Medium	Approved
2929	POLR2G	ENSG00000168002	urinary bladder	urothelial cells	Medium	Approved
2930	POLR2G	ENSG00000168002	vagina	squamous epithelial cells	Medium	Approved
2931	SP1	ENSG00000185591	adipose tissue	adipocytes	Medium	Supported
2932	SP1	ENSG00000185591	adrenal gland	glandular cells	Medium	Supported
2933	SP1	ENSG00000185591	appendix	glandular cells	Medium	Supported
2934	SP1	ENSG00000185591	appendix	lymphoid tissue	Medium	Supported
2935	SP1	ENSG00000185591	bone marrow	hematopoietic cells	Medium	Supported
2936	SP1	ENSG00000185591	breast	glandular cells	Medium	Supported
2937	SP1	ENSG00000185591	breast	myoepithelial cells	Medium	Supported
2938	SP1	ENSG00000185591	bronchus	respiratory epithelial cells	Medium	Supported
2939	SP1	ENSG00000185591	caudate	glial cells	Medium	Supported
2940	SP1	ENSG00000185591	caudate	neuronal cells	Medium	Supported
2941	SP1	ENSG00000185591	cerebellum	Bergmann glia - cytoplasm/membrane	Not detected	Supported
2942	SP1	ENSG00000185591	cerebellum	Bergmann glia - nucleus	Not detected	Supported
2943	SP1	ENSG00000185591	cerebellum	GLUC cells - cytoplasm/membrane	Not detected	Supported
2944	SP1	ENSG00000185591	cerebellum	GLUC cells - nucleus	Not detected	Supported
2945	SP1	ENSG00000185591	cerebellum	granular cells - cytoplasm/membrane	Not detected	Supported
2946	SP1	ENSG00000185591	cerebellum	granular cells - nucleus	Low	Supported
2947	SP1	ENSG00000185591	cerebellum	molecular layer - neuropil	Not detected	Supported
2948	SP1	ENSG00000185591	cerebellum	molecular layer cells - cytoplasm/membrane	Not detected	Supported
2949	SP1	ENSG00000185591	cerebellum	molecular layer cells - nucleus	Medium	Supported
2950	SP1	ENSG00000185591	cerebellum	processes in granular layer	Not detected	Supported
2951	SP1	ENSG00000185591	cerebellum	processes in molecular layer	Not detected	Supported
2952	SP1	ENSG00000185591	cerebellum	Purkinje cells - cytoplasm/membrane	Not detected	Supported
2953	SP1	ENSG00000185591	cerebellum	Purkinje cells - dendrites	Not detected	Supported
2954	SP1	ENSG00000185591	cerebellum	Purkinje cells - nucleus	Not detected	Supported
2955	SP1	ENSG00000185591	cerebellum	synaptic glomeruli - capsule	Not detected	Supported
2956	SP1	ENSG00000185591	cerebellum	synaptic glomeruli - core	Not detected	Supported
2957	SP1	ENSG00000185591	cerebral cortex	endothelial cells	Medium	Supported
2958	SP1	ENSG00000185591	cerebral cortex	glial cells	Medium	Supported
2959	SP1	ENSG00000185591	cerebral cortex	neuronal cells	Medium	Supported
2960	SP1	ENSG00000185591	cerebral cortex	neuropil	Low	Supported
2961	SP1	ENSG00000185591	cervix, uterine	glandular cells	Medium	Supported
2962	SP1	ENSG00000185591	cervix, uterine	squamous epithelial cells	Medium	Supported
2963	SP1	ENSG00000185591	colon	endothelial cells	High	Supported
2964	SP1	ENSG00000185591	colon	glandular cells	High	Supported
2965	SP1	ENSG00000185591	colon	peripheral nerve/ganglion	Medium	Supported
2966	SP1	ENSG00000185591	duodenum	glandular cells	High	Supported
2967	SP1	ENSG00000185591	endometrium 1	cells in endometrial stroma	Low	Supported
2968	SP1	ENSG00000185591	endometrium 1	glandular cells	Medium	Supported
2969	SP1	ENSG00000185591	endometrium 2	cells in endometrial stroma	Low	Supported
2970	SP1	ENSG00000185591	endometrium 2	glandular cells	Medium	Supported
2971	SP1	ENSG00000185591	epididymis	glandular cells	Medium	Supported
2972	SP1	ENSG00000185591	esophagus	squamous epithelial cells	Medium	Supported
2973	SP1	ENSG00000185591	fallopian tube	glandular cells	Medium	Supported
2974	SP1	ENSG00000185591	gallbladder	glandular cells	Medium	Supported
2975	SP1	ENSG00000185591	heart muscle	cardiomyocytes	Medium	Supported
2976	SP1	ENSG00000185591	hippocampus	glial cells	Low	Supported
2977	SP1	ENSG00000185591	hippocampus	neuronal cells	Medium	Supported
2978	SP1	ENSG00000185591	kidney	cells in glomeruli	Medium	Supported
2979	SP1	ENSG00000185591	kidney	cells in tubules	Medium	Supported
2980	SP1	ENSG00000185591	liver	cholangiocytes	Medium	Supported
2981	SP1	ENSG00000185591	liver	hepatocytes	Low	Supported
2982	SP1	ENSG00000185591	lung	alveolar cells	Medium	Supported
2983	SP1	ENSG00000185591	lung	macrophages	Medium	Supported
2984	SP1	ENSG00000185591	lymph node	germinal center cells	Medium	Supported
2985	SP1	ENSG00000185591	lymph node	non-germinal center cells	Medium	Supported
2986	SP1	ENSG00000185591	nasopharynx	respiratory epithelial cells	Medium	Supported
2987	SP1	ENSG00000185591	oral mucosa	squamous epithelial cells	Medium	Supported
2988	SP1	ENSG00000185591	ovary	follicle cells	Medium	Supported
2989	SP1	ENSG00000185591	ovary	ovarian stroma cells	Medium	Supported
2990	SP1	ENSG00000185591	pancreas	exocrine glandular cells	Medium	Supported
2991	SP1	ENSG00000185591	pancreas	pancreatic endocrine cells	Medium	Supported
2992	SP1	ENSG00000185591	parathyroid gland	glandular cells	Medium	Supported
2993	SP1	ENSG00000185591	placenta	decidual cells	High	Supported
2994	SP1	ENSG00000185591	placenta	trophoblastic cells	High	Supported
2995	SP1	ENSG00000185591	prostate	glandular cells	Medium	Supported
2996	SP1	ENSG00000185591	rectum	glandular cells	Medium	Supported
2997	SP1	ENSG00000185591	salivary gland	glandular cells	Medium	Supported
2998	SP1	ENSG00000185591	seminal vesicle	glandular cells	Medium	Supported
2999	SP1	ENSG00000185591	skeletal muscle	myocytes	Medium	Supported
3000	SP1	ENSG00000185591	skin 1	fibroblasts	Medium	Supported
3001	SP1	ENSG00000185591	skin 1	keratinocytes	High	Supported
3002	SP1	ENSG00000185591	skin 1	Langerhans	High	Supported
3003	SP1	ENSG00000185591	skin 1	melanocytes	High	Supported
3004	SP1	ENSG00000185591	skin 2	epidermal cells	Low	Supported
3005	SP1	ENSG00000185591	small intestine	glandular cells	High	Supported
3006	SP1	ENSG00000185591	smooth muscle	smooth muscle cells	Medium	Supported
3007	SP1	ENSG00000185591	soft tissue 1	fibroblasts	Medium	Supported
3008	SP1	ENSG00000185591	soft tissue 2	fibroblasts	Medium	Supported
3009	SP1	ENSG00000185591	spleen	cells in red pulp	Medium	Supported
3010	SP1	ENSG00000185591	spleen	cells in white pulp	Medium	Supported
3011	SP1	ENSG00000185591	stomach 1	glandular cells	Medium	Supported
3012	SP1	ENSG00000185591	stomach 2	glandular cells	Medium	Supported
3013	SP1	ENSG00000185591	testis	elongated or late spermatids	Not detected	Supported
3014	SP1	ENSG00000185591	testis	Leydig cells	Low	Supported
3015	SP1	ENSG00000185591	testis	pachytene spermatocytes	Not detected	Supported
3016	SP1	ENSG00000185591	testis	peritubular cells	Not detected	Supported
3017	SP1	ENSG00000185591	testis	preleptotene spermatocytes	Not detected	Supported
3018	SP1	ENSG00000185591	testis	round or early spermatids	Not detected	Supported
3019	SP1	ENSG00000185591	testis	sertoli cells	Medium	Supported
3020	SP1	ENSG00000185591	testis	spermatogonia cells	Not detected	Supported
3021	SP1	ENSG00000185591	thyroid gland	glandular cells	Medium	Supported
3022	SP1	ENSG00000185591	tonsil	germinal center cells	High	Supported
3023	SP1	ENSG00000185591	tonsil	non-germinal center cells	High	Supported
3024	SP1	ENSG00000185591	tonsil	squamous epithelial cells	High	Supported
3025	SP1	ENSG00000185591	urinary bladder	urothelial cells	Medium	Supported
3026	SP1	ENSG00000185591	vagina	squamous epithelial cells	Medium	Supported
3027	FN1	ENSG00000115414	adipose tissue	adipocytes	Medium	Enhanced
3028	FN1	ENSG00000115414	adrenal gland	glandular cells	Medium	Enhanced
3029	FN1	ENSG00000115414	appendix	glandular cells	Low	Enhanced
3030	FN1	ENSG00000115414	appendix	lymphoid tissue	Not detected	Enhanced
3031	FN1	ENSG00000115414	bone marrow	hematopoietic cells	Low	Enhanced
3032	FN1	ENSG00000115414	breast	adipocytes	Low	Enhanced
3033	FN1	ENSG00000115414	breast	glandular cells	Low	Enhanced
3034	FN1	ENSG00000115414	breast	myoepithelial cells	Not detected	Enhanced
3035	FN1	ENSG00000115414	bronchus	respiratory epithelial cells	Low	Enhanced
3036	FN1	ENSG00000115414	caudate	glial cells	Low	Enhanced
3037	FN1	ENSG00000115414	caudate	neuronal cells	Not detected	Enhanced
3038	FN1	ENSG00000115414	cerebellum	cells in granular layer	Medium	Enhanced
3039	FN1	ENSG00000115414	cerebellum	cells in molecular layer	Low	Enhanced
3040	FN1	ENSG00000115414	cerebellum	Purkinje cells	Not detected	Enhanced
3041	FN1	ENSG00000115414	cerebral cortex	endothelial cells	Medium	Enhanced
3042	FN1	ENSG00000115414	cerebral cortex	glial cells	Not detected	Enhanced
3043	FN1	ENSG00000115414	cerebral cortex	neuronal cells	Not detected	Enhanced
3044	FN1	ENSG00000115414	cerebral cortex	neuropil	Not detected	Enhanced
3045	FN1	ENSG00000115414	cervix, uterine	glandular cells	Not detected	Enhanced
3046	FN1	ENSG00000115414	cervix, uterine	squamous epithelial cells	Not detected	Enhanced
3047	FN1	ENSG00000115414	colon	endothelial cells	Medium	Enhanced
3048	FN1	ENSG00000115414	colon	glandular cells	Medium	Enhanced
3049	FN1	ENSG00000115414	colon	peripheral nerve/ganglion	Medium	Enhanced
3050	FN1	ENSG00000115414	duodenum	glandular cells	Medium	Enhanced
3051	FN1	ENSG00000115414	endometrium 1	cells in endometrial stroma	Medium	Enhanced
3052	FN1	ENSG00000115414	endometrium 1	glandular cells	Not detected	Enhanced
3053	FN1	ENSG00000115414	endometrium 2	cells in endometrial stroma	Low	Enhanced
3054	FN1	ENSG00000115414	endometrium 2	glandular cells	Not detected	Enhanced
3055	FN1	ENSG00000115414	epididymis	glandular cells	Low	Enhanced
3056	FN1	ENSG00000115414	esophagus	squamous epithelial cells	Low	Enhanced
3057	FN1	ENSG00000115414	fallopian tube	glandular cells	Not detected	Enhanced
3058	FN1	ENSG00000115414	gallbladder	glandular cells	Medium	Enhanced
3059	FN1	ENSG00000115414	heart muscle	cardiomyocytes	Medium	Enhanced
3060	FN1	ENSG00000115414	hippocampus	glial cells	Not detected	Enhanced
3061	FN1	ENSG00000115414	hippocampus	neuronal cells	Low	Enhanced
3062	FN1	ENSG00000115414	kidney	cells in glomeruli	Medium	Enhanced
3063	FN1	ENSG00000115414	kidney	cells in tubules	High	Enhanced
3064	FN1	ENSG00000115414	liver	cholangiocytes	Not detected	Enhanced
3065	FN1	ENSG00000115414	liver	hepatocytes	Low	Enhanced
3066	FN1	ENSG00000115414	lung	alveolar cells	Not detected	Enhanced
3067	FN1	ENSG00000115414	lung	macrophages	Low	Enhanced
3068	FN1	ENSG00000115414	lymph node	germinal center cells	Not detected	Enhanced
3069	FN1	ENSG00000115414	lymph node	non-germinal center cells	Not detected	Enhanced
3070	FN1	ENSG00000115414	nasopharynx	respiratory epithelial cells	Low	Enhanced
3071	FN1	ENSG00000115414	oral mucosa	squamous epithelial cells	Low	Enhanced
3072	FN1	ENSG00000115414	ovary	ovarian stroma cells	Not detected	Enhanced
3073	FN1	ENSG00000115414	pancreas	exocrine glandular cells	Not detected	Enhanced
3074	FN1	ENSG00000115414	pancreas	pancreatic endocrine cells	Not detected	Enhanced
3075	FN1	ENSG00000115414	parathyroid gland	glandular cells	Not detected	Enhanced
3076	FN1	ENSG00000115414	placenta	decidual cells	Medium	Enhanced
3077	FN1	ENSG00000115414	placenta	trophoblastic cells	Low	Enhanced
3078	FN1	ENSG00000115414	prostate	glandular cells	Not detected	Enhanced
3079	FN1	ENSG00000115414	rectum	glandular cells	Low	Enhanced
3080	FN1	ENSG00000115414	salivary gland	glandular cells	Low	Enhanced
3081	FN1	ENSG00000115414	seminal vesicle	glandular cells	Low	Enhanced
3082	FN1	ENSG00000115414	skeletal muscle	myocytes	Not detected	Enhanced
3083	FN1	ENSG00000115414	skin 1	fibroblasts	Medium	Enhanced
3084	FN1	ENSG00000115414	skin 1	keratinocytes	Not detected	Enhanced
3085	FN1	ENSG00000115414	skin 1	Langerhans	Not detected	Enhanced
3086	FN1	ENSG00000115414	skin 1	melanocytes	Not detected	Enhanced
3087	FN1	ENSG00000115414	skin 2	epidermal cells	Not detected	Enhanced
3088	FN1	ENSG00000115414	small intestine	glandular cells	Low	Enhanced
3089	FN1	ENSG00000115414	smooth muscle	smooth muscle cells	Medium	Enhanced
3090	FN1	ENSG00000115414	soft tissue 1	chondrocytes	Not detected	Enhanced
3091	FN1	ENSG00000115414	soft tissue 1	fibroblasts	Medium	Enhanced
3092	FN1	ENSG00000115414	soft tissue 1	peripheral nerve	Low	Enhanced
3093	FN1	ENSG00000115414	soft tissue 2	fibroblasts	Medium	Enhanced
3094	FN1	ENSG00000115414	soft tissue 2	peripheral nerve	Not detected	Enhanced
3095	FN1	ENSG00000115414	spleen	cells in red pulp	Low	Enhanced
3096	FN1	ENSG00000115414	spleen	cells in white pulp	Low	Enhanced
3097	FN1	ENSG00000115414	stomach 1	glandular cells	Low	Enhanced
3098	FN1	ENSG00000115414	stomach 2	glandular cells	Not detected	Enhanced
3099	FN1	ENSG00000115414	testis	elongated or late spermatids	Medium	Enhanced
3100	FN1	ENSG00000115414	testis	Leydig cells	Medium	Enhanced
3101	FN1	ENSG00000115414	testis	pachytene spermatocytes	Not detected	Enhanced
3102	FN1	ENSG00000115414	testis	peritubular cells	Low	Enhanced
3103	FN1	ENSG00000115414	testis	preleptotene spermatocytes	Not detected	Enhanced
3104	FN1	ENSG00000115414	testis	round or early spermatids	Not detected	Enhanced
3105	FN1	ENSG00000115414	testis	sertoli cells	Not detected	Enhanced
3106	FN1	ENSG00000115414	testis	spermatogonia cells	Not detected	Enhanced
3107	FN1	ENSG00000115414	thyroid gland	glandular cells	Low	Enhanced
3108	FN1	ENSG00000115414	tonsil	germinal center cells	Not detected	Enhanced
3109	FN1	ENSG00000115414	tonsil	non-germinal center cells	Not detected	Enhanced
3110	FN1	ENSG00000115414	tonsil	squamous epithelial cells	Not detected	Enhanced
3111	FN1	ENSG00000115414	urinary bladder	urothelial cells	Low	Enhanced
3112	FN1	ENSG00000115414	vagina	squamous epithelial cells	Not detected	Enhanced
3113	CSNK1A1	ENSG00000113712	adipose tissue	adipocytes	Low	Uncertain
3114	CSNK1A1	ENSG00000113712	adrenal gland	glandular cells	High	Uncertain
3115	CSNK1A1	ENSG00000113712	appendix	glandular cells	Medium	Uncertain
3116	CSNK1A1	ENSG00000113712	appendix	lymphoid tissue	Low	Uncertain
3117	CSNK1A1	ENSG00000113712	bone marrow	hematopoietic cells	Medium	Uncertain
3118	CSNK1A1	ENSG00000113712	breast	adipocytes	Not detected	Uncertain
3119	CSNK1A1	ENSG00000113712	breast	glandular cells	Medium	Uncertain
3120	CSNK1A1	ENSG00000113712	breast	myoepithelial cells	Medium	Uncertain
3121	CSNK1A1	ENSG00000113712	bronchus	respiratory epithelial cells	High	Uncertain
3122	CSNK1A1	ENSG00000113712	caudate	glial cells	Low	Uncertain
3123	CSNK1A1	ENSG00000113712	caudate	neuronal cells	Medium	Uncertain
3124	CSNK1A1	ENSG00000113712	cerebellum	cells in granular layer	Medium	Uncertain
3125	CSNK1A1	ENSG00000113712	cerebellum	cells in molecular layer	Not detected	Uncertain
3126	CSNK1A1	ENSG00000113712	cerebellum	Purkinje cells	Medium	Uncertain
3127	CSNK1A1	ENSG00000113712	cerebral cortex	endothelial cells	Not detected	Uncertain
3128	CSNK1A1	ENSG00000113712	cerebral cortex	glial cells	Not detected	Uncertain
